kepid,koi_disposition,ra,dec,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2
4948730,FALSE POSITIVE,297.82544,40.08799,0,1,1,0,23.0295222,0.0002012,-0.0002012,151.14686,0.00813,-0.00813,1.173,59.68,-1.025,7.96,0.339,-0.339,548.2,23.4,-23.4,20.81,6.1,-2.6,645,NA,NA,40.87,35.16,-13.54,5877,159,-195,4.445,0.098,-0.196,0.959,0.281,-0.12
3848665,FALSE POSITIVE,290.97659,38.996101,1,0,0,1,359.04147,0.02106,-0.02106,274.206,0.0466,-0.0466,1.28,6.913,-0.118,14.04,1.5,-1.5,3658,394,-394,27.1,1.94,-2.5,181,NA,NA,0.25,0.08,-0.07,4596,161,-161,4.59,0.052,-0.028,0.696,0.05,-0.064
3848919,FALSE POSITIVE,291.05634,38.974411,0,1,0,0,0.52363021,2.5e-08,-2.5e-08,131.7669254,3.96e-05,-3.96e-05,0.549,0.011,-0.015,3.45121,0.00382,-0.00382,367100,245,-245,52.26,6.81,-6.17,1940,NA,NA,3324.98,1447.67,-1003.77,5407,160,-144,4.535,0.099,-0.081,0.745,0.097,-0.088
3848948,CANDIDATE,291.06427,38.970661,0,0,0,0,0.523632451,3.622e-06,-3.622e-06,131.76512,0.00609,-0.00609,0.738,0.241,-0.502,1.99,0.255,-0.255,8.1,0.8,-0.8,1.08,0.28,-0.52,5313,NA,NA,188657.97,145444.98,-146489.98,8277,228,-358,3.693,0.435,-0.145,3.518,0.916,-1.701
3852865,FALSE POSITIVE,292.13519,38.926491,0,0,0,0,492.25299,0.01105,-0.01105,520.86,0.018,-0.018,0.226,0.2033,-0.2257,5.077,0.604,-0.604,372.7,42.4,-42.4,1.8,0.74,-0.17,224,NA,NA,0.59,0.72,-0.15,5755,153,-152,4.478,0.055,-0.283,0.936,0.383,-0.089
3854101,FALSE POSITIVE,292.4649,38.907421,0,1,0,0,293.5056071,0.0007301,-0.0007301,328.7269,0.00218,-0.00218,1.341,6.63,-0.285,3.4075,0.0789,-0.0789,6824,158,-158,48.59,6.08,-6.09,265,NA,NA,1.16,0.4,-0.32,5455,81,-73,4.381,0.126,-0.084,1.006,0.126,-0.126
3858926,FALSE POSITIVE,293.70566,38.95528,1,0,0,1,25.95247,0.001077,-0.001077,149.0004,0.0326,-0.0326,0.4398,0.0189,-0.4398,12.945,0.744,-0.744,80.8,9.4,-9.4,1.56,1.06,-0.25,946,NA,NA,189.06,420.87,-78.26,7351,232,-330,4.17,0.094,-0.388,1.679,1.155,-0.27
3859890,FALSE POSITIVE,293.93387,38.944839,0,0,1,0,4.34573349,3.576e-05,-3.576e-05,134.40693,0.00902,-0.00902,0.512,0.455,-0.301,2.246,0.375,-0.375,73.5,11.1,-11.1,0.86,0.26,-0.11,1151,NA,NA,415.52,363.41,-135.85,5967,161,-179,4.43,0.087,-0.188,0.976,0.291,-0.125
3863877,CANDIDATE,294.90323,38.95647,0,0,0,0,288.07937,0.003761,-0.003761,355.49261,0.00933,-0.00933,0.0483,0.4066,-0.0483,3.161,0.322,-0.322,991,161,-161,3.01,1.24,-0.23,269,NA,NA,1.25,1.51,-0.33,5825,152,-209,4.504,0.032,-0.297,0.965,0.4,-0.073
5213005,FALSE POSITIVE,298.03879,40.324478,1,0,0,0,484.58335927,NA,NA,569.5386194,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5213811,FALSE POSITIVE,298.20096,40.392319,1,0,0,0,288.285213,0.006879,-0.006879,325.0419,0.013,-0.013,0.0503,0.4015,-0.05,5.343,0.473,-0.473,378.1,35.9,-35.9,2.2,1,-0.3,312,NA,NA,2.25,3,-0.76,6171,148,-180,4.337,0.113,-0.279,1.127,0.515,-0.154
5255259,CANDIDATE,284.54691,40.468529,0,0,0,0,198.895864,0.002938,-0.002938,225.4944,0.00911,-0.00911,0.0543,0.3936,-0.0541,4.193,0.326,-0.326,1779,182,-182,3.33,1.08,-0.35,264,NA,NA,1.14,1.17,-0.33,5184,185,-147,4.502,0.079,-0.391,0.808,0.264,-0.085
